transaction_id,customer_id,product_id,quantity,transaction_date,channel,total_amount_eur
1,1134,23,2,2023-10-03,Online,0.98
2,957,27,1,2023-10-04,Online,0.61
3,519,1,1,2023-10-06,Online,0.34
4,1409,43,1,2023-10-07,Online,20.5
5,1175,45,1,2023-10-10,Online,0.37
6,519,23,2,2023-10-10,Boutique,0.98
7,1194,17,1,2023-10-10,App,0.56
8,416,13,2,2023-10-12,Online,0.86
9,127,18,1,2023-10-15,Online,0.53
10,2,4,2,2023-10-15,Online,0.76
11,1963,36,1,2023-10-17,Boutique,0.52
12,1186,20,1,2023-10-23,Online,38.82
13,1453,16,1,2023-10-23,Boutique,0.33
14,1186,48,1,2023-10-25,Online,0.4
15,1194,2,1,2023-10-26,Online,0.46
16,967,6,1,2023-10-26,Online,0.46
17,638,23,1,2023-10-27,Online,0.49
18,519,21,1,2023-10-27,App,0.48
19,127,4,2,2023-10-28,Boutique,0.76
20,865,12,1,2023-10-28,Online,0.5
21,519,43,1,2023-10-29,Online,20.5
22,1963,44,1,2023-10-31,Online,0.59
23,509,22,2,2023-11-02,App,0.82
24,369,5,1,2023-11-03,Online,0.46
25,1451,30,1,2023-11-04,Boutique,0.39
26,1402,13,1,2023-11-05,Boutique,0.43
27,1664,12,1,2023-11-05,Boutique,0.5
28,1878,27,1,2023-11-06,Boutique,0.61
29,1736,13,1,2023-11-07,App,0.43
30,2,24,1,2023-11-08,App,12.18
31,101,43,1,2023-11-11,Boutique,20.5
32,2,7,1,2023-11-11,Online,0.57
33,1040,16,1,2023-11-12,Online,0.33
34,1658,14,1,2023-11-12,Online,0.47
35,1027,50,1,2023-11-12,Boutique,0.42
36,137,6,1,2023-11-14,Boutique,0.46
37,1991,3,1,2023-11-14,Online,17.92
38,1140,26,1,2023-11-14,Online,0.39
39,1430,32,1,2023-11-15,Online,0.45
40,529,26,1,2023-11-16,Online,0.39
41,1664,19,1,2023-11-16,Boutique,0.29
42,1183,44,1,2023-11-17,Boutique,0.59
43,1186,35,1,2023-11-17,App,0.6
44,1150,40,1,2023-11-18,Online,0.34
45,544,4,1,2023-11-19,Online,0.38
46,518,17,1,2023-11-20,Online,0.56
47,972,19,1,2023-11-20,Online,0.29
48,1247,22,2,2023-11-20,Online,0.82
49,972,36,1,2023-11-20,Online,0.52
50,127,35,1,2023-11-21,App,0.6
51,470,16,1,2023-11-21,Boutique,0.33
52,482,8,1,2023-11-21,Online,0.5
53,1281,16,1,2023-11-23,Online,0.33
54,1625,23,1,2023-11-23,Boutique,0.49
55,1035,33,1,2023-11-24,App,8.71
56,518,2,1,2023-11-24,Online,0.46
57,1483,23,1,2023-11-24,Online,0.49
58,1935,35,1,2023-11-25,Boutique,0.6
59,1420,14,1,2023-11-26,Boutique,0.47
60,416,45,1,2023-11-27,Online,0.37
61,1583,39,1,2023-11-27,Online,13.34
62,957,24,2,2023-11-27,Boutique,24.36
63,550,49,1,2023-11-27,Boutique,0.43
64,325,27,1,2023-11-27,Online,0.61
65,544,28,1,2023-11-28,Online,0.45
66,1438,44,1,2023-11-28,Online,0.59
67,257,50,1,2023-11-28,App,0.42
68,1140,43,1,2023-11-28,Boutique,20.5
69,1062,2,1,2023-11-28,App,0.46
70,1991,31,1,2023-11-29,Boutique,0.52
71,967,24,1,2023-11-29,Online,12.18
72,1938,16,1,2023-11-29,Online,0.33
73,509,30,2,2023-11-29,Online,0.78
74,1063,37,1,2023-11-30,Online,0.42
75,89,31,1,2023-11-30,Boutique,0.52
76,1094,31,1,2023-12-01,Online,0.52
77,721,28,1,2023-12-01,Boutique,0.45
78,1430,50,1,2023-12-02,Boutique,0.42
79,509,30,1,2023-12-02,Boutique,0.39
80,1194,12,1,2023-12-02,Boutique,0.5
81,343,42,1,2023-12-02,App,26.28
82,1062,46,1,2023-12-03,App,0.45
83,1878,39,3,2023-12-03,Online,40.02
84,1438,1,1,2023-12-03,Online,0.34
85,184,49,1,2023-12-03,Online,0.43
86,1478,1,1,2023-12-03,Online,0.34
87,325,46,2,2023-12-03,Boutique,0.9
88,1610,22,1,2023-12-04,Boutique,0.41
89,257,23,1,2023-12-04,Boutique,0.49
90,1907,15,1,2023-12-05,Online,0.53
91,395,41,1,2023-12-06,Boutique,0.3
92,231,25,1,2023-12-06,Boutique,0.49
93,553,23,1,2023-12-06,Online,0.49
94,13,13,1,2023-12-07,Online,0.43
95,738,35,1,2023-12-07,Online,0.6
96,1185,2,1,2023-12-08,Online,0.46
97,1907,12,1,2023-12-09,Online,0.5
98,277,24,1,2023-12-09,Online,12.18
99,1027,26,1,2023-12-09,Boutique,0.39
100,1907,40,1,2023-12-09,Online,0.34
101,1237,13,1,2023-12-09,Online,0.43
